id;kat;kat_de;kat_en;kat_sub_de;kat_sub_en;name;strasse;plz;gemeinde;landkreis;stellplaetze;emob;linien;website;phone;betreiber;oeffnungszeiten;vbn;x_wgs84;y_wgs84;haltestelle
PR200001463;7;Park+Ride;Park+Ride;"";"";Bad Pyrmont P+R Anlage 01 West;Am Güterbahnhof;31812;Bad Pyrmont;Landkreis Hameln-Pyrmont;38;f;S5;;;;;f;9.27206846184561;51.9742058449389;
PR200001464;7;Park+Ride;Park+Ride;"";"";Bad Pyrmont P+R Anlage 02 Südwest;Am Güterbahnhof;31812;Bad Pyrmont;Landkreis Hameln-Pyrmont;38;f;S5;;;;;f;9.27110949308336;51.9737541967156;
PR200001469;7;Park+Ride;Park+Ride;"";"";Coppenbrügge P+R Anlage 01;Bahnhofstraße;31863;Coppenbrügge;Landkreis Hameln-Pyrmont;14;f;RB77;;;;;f;9.53716696406177;52.1196741895312;
PR200001472;7;Park+Ride;Park+Ride;"";"";Osterwald P+R Anlage 01;Bahnhofstraße;31020;Salzhemmendorf;Landkreis Hameln-Pyrmont;38;f;RB77;;;;;f;9.63580172579501;52.0972591164617;
PR200001475;7;Park+Ride;Park+Ride;"";"";Voldagsen P+R Anlage 01;Am Bahnhof;31863;Coppenbrügge;Landkreis Hameln-Pyrmont;18;f;RB77;;;;;f;9.58227270887081;52.1014074936235;
PR200001480;7;Park+Ride;Park+Ride;"";"";Elze P+R Anlage 02 Nord;Bahnhofstraße;31008;Elze;Landkreis Hildesheim;115;f;RB77,RE2;;;;;f;9.74681191549761;52.1209251691332;
PR200001484;7;Park+Ride;Park+Ride;"";"";Nordstemmen P+R Anlage 01 Ost;Hauptstraße;31171;Nordstemmen;Landkreis Hildesheim;108;f;RB77,RE2;;;;;f;9.79076810037978;52.1671086091768;
PR200001485;7;Park+Ride;Park+Ride;"";"";Nordstemmen P+R Anlage 02 Nord;Hauptstraße;31171;Nordstemmen;Landkreis Hildesheim;35;f;RB77,RE2;;;;;f;9.79402602731348;52.169265052887;
PR200001490;7;Park+Ride;Park+Ride;"";"";Emmerke P+R Anlage 01 Südseite;Bahnhofstraße;31180;Giesen;Landkreis Hildesheim;58;f;RB77,S4;;;;;f;9.86698589169172;52.1618031464511;
PR200001491;7;Park+Ride;Park+Ride;"";"";Barnten P+R Anlage 01;Landesstraße;31171;Nordstemmen;Landkreis Hildesheim;36;f;S4;;;;;f;9.81419436414072;52.1952282216336;
PR200001497;7;Park+Ride;Park+Ride;"";"";Banteln P+R Anlage 02 Ost;Bahnhofstraße;31029;Gronau;Landkreis Hildesheim;35;f;RE2;;;;;f;9.7506443175132;52.066502478223;
PR200001498;7;Park+Ride;Park+Ride;"";"";Banteln P+R Anlage 01 West;Hinter der Bahn;31029;Gronau;Landkreis Hildesheim;42;f;RE2;;;;;f;9.75014992754045;52.0658392993699;
PR200001499;7;Park+Ride;Park+Ride;"";"";Sarstedt P+R Anlage 01 Ost;Bahnhofstraße;31157;Sarstedt;Landkreis Hildesheim;88;f;RE10,RE2,S4;;;;;f;9.84249422357079;52.2317719833899;
PR200001503;7;Park+Ride;Park+Ride;"";"";Sarstedt P+R Anlage 03 West;Wenderter Straße;31157;Sarstedt;Landkreis Hildesheim;110;f;RE10,RE2,S4;;;;;f;9.84208248815583;52.232351545526;
PR200001509;7;Park+Ride;Park+Ride;"";"";Alfeld P+R Anlage 01 Ost;Bahnhofstraße;31061;Alfeld (Leine);Landkreis Hildesheim;59;f;RE2;;;;;f;9.81904952486202;51.9809174428833;
PR200001511;7;Park+Ride;Park+Ride;"";"";Alfeld P+R Anlage 03 West;Am Bahnhof;31061;Alfeld (Leine);Landkreis Hildesheim;61;f;RE2;;;;;f;9.81803136689986;51.9816015615865;
PR200001512;7;Park+Ride;Park+Ride;"";"";Alfeld P+R Anlage 04 Nordwest;Am Bahnhof;31061;Alfeld (Leine);Landkreis Hildesheim;25;f;RE2;;;;;f;9.81742229914533;51.9821482859174;
PR200001513;7;Park+Ride;Park+Ride;"";"";Alfeld P+R Anlage 05 Nord;Auf der Hackelmasch;31061;Alfeld (Leine);Landkreis Hildesheim;300;f;RE2;;;;;f;9.81939953424714;51.9826530300538;
PR200001525;7;Park+Ride;Park+Ride;"";"";Freden P+R Anlage 01 West;Am Schillerplatz;31084;Freden (Leine);Landkreis Hildesheim;32;f;RE2;;;;;f;9.89877284516009;51.9280100157032;
PR200001526;7;Park+Ride;Park+Ride;"";"";Freden P+R Anlage 02 Ost;Alfelder Straße;31084;Freden (Leine);Landkreis Hildesheim;18;f;RE2;;;;;f;9.89933196368809;51.9278134946543;
PR200001529;7;Park+Ride;Park+Ride;"";"";Stadtoldendorf P+R Anlage 01;Bahnhofstraße;37627;Stadtoldendorf;Landkreis Holzminden;22;f;RB84;;;;;f;9.62028414521506;51.8817134290518;
PR200001531;7;Park+Ride;Park+Ride;"";"";Stadtoldendorf P+R Anlage 03 Ost;Ballisgraben;37627;Stadtoldendorf;Landkreis Holzminden;50;f;RB84;;;;;f;9.62330453759357;51.8804000823922;
PR200001535;7;Park+Ride;Park+Ride;"";"";Holzminden P+R Anlage 03 West;Südstraße;37603;Holzminden;Landkreis Holzminden;33;f;RB84;;;;;f;9.45265030999453;51.8206803756275;
PR200001541;7;Park+Ride;Park+Ride;"";"";Lauenförde-Beverungen P+R Anlage 01;Zum Bahnhof;37697;Lauenförde;Landkreis Holzminden;19;f;RB85;;;;;f;9.39247166903032;51.6591127878153;
PR200001544;7;Park+Ride;Park+Ride;"";"";Uslar P+R Anlage 01;An der Eisenbahn;37170;Uslar;Landkreis Northeim;18;f;RB81;;;;;f;9.65397748884863;51.6546157724443;
PR200001546;7;Park+Ride;Park+Ride;"";"";Volpriehausen P+R Anlage 01;Schlarper Straße;37170;Uslar;Landkreis Northeim;13;f;RB81;;;;;f;9.73777684729688;51.6610559417541;
PR200001556;7;Park+Ride;Park+Ride;"";"";Hann Münden P+R Anlage 01 West;Vor der Bahn;34346;Hann. Münden;Landkreis Göttingen;102;f;R8,RE2_NVV,RE9_NVV;;;;;f;9.65672690767168;51.4123159707912;
PR200001559;7;Park+Ride;Park+Ride;"";"";Hann Münden P+R Anlage 04 Nordost;Vor der Bahn;34346;Hann. Münden;Landkreis Göttingen;52;f;R8,RE2_NVV,RE9_NVV;;;;;f;9.66006074554201;51.4140650626315;
PR200001563;7;Park+Ride;Park+Ride;"";"";Hedemünden P+R Anlage 01;Bahnhofsweg;34346;Hann. Münden;Landkreis Göttingen;12;f;R8;;;;;f;9.76162213901589;51.3919916062135;
PR200001566;7;Park+Ride;Park+Ride;"";"";Friedland P+R Anlage 01 Nordost;Grimmes Garten;37133;Friedland;Landkreis Göttingen;48;f;R7,R8,RE1_Cantus;;;;;f;9.91544786083545;51.4214563421034;
PR200001567;7;Park+Ride;Park+Ride;"";"";Friedland P+R Anlage 02 Südwest;Bahnhofstraße;37133;Friedland;Landkreis Göttingen;35;f;R7,R8,RE1_Cantus;;;;;f;9.91398609889564;51.4217753440112;
PR200001570;7;Park+Ride;Park+Ride;"";"";Algermissen P+R Anlage 01 Süd;Bahnhofsplatz;31191;Algermissen;Landkreis Hildesheim;37;f;S3_DB;;;;;f;9.9661369194407;52.2520750382714;
PR200001583;7;Park+Ride;Park+Ride;"";"";Derneburg P+R Anlage 01 Ost;Bahnhofstraße;31188;Holle;Landkreis Hildesheim;20;f;RE10;;;;;f;10.1444609426915;52.096967690517;
PR200001585;7;Park+Ride;Park+Ride;"";"";Derneburg P+R Anlage 03 West;Bahnhofstraße;31188;Holle;Landkreis Hildesheim;21;f;RE10;;;;;f;10.1426694017039;52.0972830203211;
PR200001586;7;Park+Ride;Park+Ride;"";"";Derneburg P+R Anlage 04 Nordwest;Bahnhofstraße;31188;Holle;Landkreis Hildesheim;30;f;RE10;;;;;f;10.142116889401;52.0974421563197;
PR200001594;7;Park+Ride;Park+Ride;"";"";Hildesheim Hbf P+R-Anlage 02 Parkhaus West;Bischof-Janssen-Straße;31134;Hildesheim;Landkreis Hildesheim;459;f;ICE,RB77,RB79,RE10,S3_DB,S4;;;;;f;9.94941936079344;52.1585566215804;
PR200001596;7;Park+Ride;Park+Ride;"";"";Hildesheim Hbf P+R-Anlage 04 Nord;Altes Dorf;31137;Hildesheim;Landkreis Hildesheim;24;f;ICE,RB77,RB79,RE10,S3_DB,S4;;;;;f;9.95224073575868;52.1607971652522;
PR200001602;7;Park+Ride;Park+Ride;"";"";Hildesheim Ost P+R Anlage 02 Ost;Am Kreuzfeld;31141;Hildesheim;Landkreis Hildesheim;87;f;RB79,RE10;;;;;f;9.96348415871513;52.1464798550091;
PR200001607;7;Park+Ride;Park+Ride;"";"";Groß Düngen P+R Anlage 02 Bahnhofsallee Ost/West;Bahnhofsallee;31162;Bad Salzdetfurth;Landkreis Hildesheim;30;f;RB79,RE10;;;;;f;10.0207364255425;52.0974060778049;
PR200001609;7;Park+Ride;Park+Ride;"";"";Wesseln P+R Anlage 01;Katzhof;31162;Bad Salzdetfurth;Landkreis Hildesheim;14;f;RB79;;;;;f;10.0344117357633;52.0809351544871;
PR200001616;7;Park+Ride;Park+Ride;"";"";Bad Salzdetfurth P+R Anlage 01 Süd;Bahnhofstraße;31162;Bad Salzdetfurth;Landkreis Hildesheim;37;f;RB79;;;;;f;10.0055694536741;52.0622836448176;
PR200001619;7;Park+Ride;Park+Ride;"";"";Bodenburg P+R Anlage 01;Zuckerfabrik;31162;Bad Salzdetfurth;Landkreis Hildesheim;30;f;RB79;;;;;f;10.0036820183832;52.0329344879261;
PR200001621;7;Park+Ride;Park+Ride;"";"";Bad Gandersheim P+R Anlage 01;Bahnhofstraße;37581;Bad Gandersheim;Landkreis Northeim;20;f;RB82;;;;;f;10.0198593653262;51.8674931763959;
PR200001623;7;Park+Ride;Park+Ride;"";"";Kreiensen P+R Anlage 01 Süd;Bahnhof;37547;Einbeck;Landkreis Northeim;179;f;RB82,RB84,RE2;;;;;f;9.96601349089334;51.8519459932125;
PR200001624;7;Park+Ride;Park+Ride;"";"";Kreiensen P+R Anlage 02 West;Bismarckweg;37547;Einbeck;Landkreis Northeim;52;f;RB82,RB84,RE2;;;;;f;9.96556275298632;51.8538456010978;
PR200001625;7;Park+Ride;Park+Ride;"";"";Kreiensen P+R Anlage 03 Nordost;Billerbecker Straße;37547;Einbeck;Landkreis Northeim;12;f;RB82,RB84,RE2;;;;;f;9.96777441344016;51.8530015178184;
PR200001631;7;Park+Ride;Park+Ride;"";"";Einbeck-Salzderhelden P+R Anlage 02;Bahnhofstraße;37574;Einbeck;Landkreis Northeim;120;f;RB82,RE2;;;;;f;9.92202064813545;51.7979417949478;
PR200001632;7;Park+Ride;Park+Ride;"";"";Einbeck-Salzderhelden P+R Anlage 03 Nord;Alte Bahnhofstraße;37574;Einbeck;Landkreis Northeim;14;f;RB82,RE2;;;;;f;9.92219176484543;51.7980514531434;
PR200001634;7;Park+Ride;Park+Ride;"";"";Northeim (Han) P+R Anlage 02 Ost;Güterbahnhofstraße;37154;Northeim;Landkreis Northeim;145;f;RB80,RB81,RB82,RE2;;;;;f;9.98811062734381;51.7029729641726;
PR200001635;7;Park+Ride;Park+Ride;"";"";Northeim (Han) P+R Anlage 03 Güterbahnhofstraße;Güterbahnhofstraße;37154;Northeim;Landkreis Northeim;40;f;RB80,RB81,RB82,RE2;;;;;f;9.98912054574485;51.702624888938;
PR200001640;7;Park+Ride;Park+Ride;"";"";Katlenburg P+R Anlage 01 Süd;Bahnhofstraße;37191;Katlenburg-Lindau;Landkreis Northeim;12;f;RB80;;;;;f;10.0999928149511;51.6857986575041;
PR200001641;7;Park+Ride;Park+Ride;"";"";Katlenburg P+R Anlage 02 Nord;Bahnhofsdamm;37191;Katlenburg-Lindau;Landkreis Northeim;12;f;RB80;;;;;f;10.1000231976059;51.6861987981558;
PR200001642;7;Park+Ride;Park+Ride;"";"";Katlenburg P+R Anlage 03 Südost;Im Büh;37191;Katlenburg-Lindau;Landkreis Northeim;14;f;RB80;;;;;f;10.1009230944996;51.6852644855377;
PR200001645;7;Park+Ride;Park+Ride;"";"";Wulften P+R Anlage 01;An der Bahn;37199;Wulften am Harz;Landkreis Göttingen;15;f;RB80;;;;;f;10.1757607456283;51.6595452345745;
PR200001654;7;Park+Ride;Park+Ride;"";"";Nörten-Hardenberg P+R Anlage 01 Süd;Bahnhofstraße;37176;Nörten-Hardenberg;Landkreis Northeim;43;f;RB80,RE2;;;;;f;9.933270052652;51.6277353961295;
PR200001655;7;Park+Ride;Park+Ride;"";"";Nörten-Hardenberg P+R Anlage 02 Nord;Bahnhofstraße;37176;Nörten-Hardenberg;Landkreis Northeim;12;f;RB80,RE2;;;;;f;9.93363053838332;51.6292479391086;
PR200001656;7;Park+Ride;Park+Ride;"";"";Osterode am Harz Mitte P+R Anlage 01;Dörgestraße;37520;Osterode;Landkreis Göttingen;104;f;RB46;;;;;f;10.2456015411103;51.7261942833242;
PR200001663;7;Park+Ride;Park+Ride;"";"";Herzberg (Harz) P+R Anlage 01;Joachim-Gießner-Weg;37412;Herzberg am Harz;Landkreis Göttingen;30;f;RB46,RB80;;;;;f;10.3302222469871;51.6444744877862;
PR200001671;7;Park+Ride;Park+Ride;"";"";Walkenried P+R Anlage 01;Bahnhofstraße;37445;Walkenried;Landkreis Göttingen;18;f;RB80;;;;;f;10.6097999960095;51.5846936429426;
PR200001675;7;Park+Ride;Park+Ride;"";"";Göttingen P+R Anlage 03 Südwest;Bahnhofsallee;37073;Göttingen;Landkreis Göttingen;540;f;IC,ICE,R7,R8,RB82,RB85,RE1_Cantus,RE2;;;;;f;9.92374411310342;51.5357215865867;
VV379;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Nadine Kattau-Damaschke (Postfiliale);Arberger Heerstraße 31;28307;Bremen;Bremen;0;f;BUS 40, 41, 44;;0421-48523600;Nadine Kattau-Damaschke;Mo.Fr. 9.00 - 13.00 15.00-18.00 Sa.9.00 - 12.00;f;8.919131;53.038624;Süntelstraße
VV380;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Carl Behr Tabakwaren ;Mahndorfer Heerstraße 70;28307;Bremen;Bremen;0;f;BUS 38, 39;;0421-4853594;Carl Behr Tabakwaren ;Mo-Do. 7.30-13, 15-18 Fr. 7.30-18, Sa. 7-13;f;8.948368;53.03634;Hexenstieg
VV381;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Brassers;Oberurseler Straße 8;28307;Bremen;Bremen;0;f;BUS 41, 44;;0421-483850;Brassers;Mo.-Fr.6.30-13, 15-18,Mittw.Nachm.geschl. Sa. 6.30-12;f;8.931366;53.041336;Eppenhainer Straße 
VV382;18;Ticketautomaten;Ticket Machines;;;DB-Ticketautomat Bahnhof Mahndorf Gleis 2;Mahndorfer Landstraße 32;28307;Bremen;Bremen;0;f;;;;DB;;f;8.945025;53.039888;
VV383;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Hamanke - Tabak und Schreibwaren ;Arsterdamm 144;28279;Bremen;Bremen;0;f;Bus 51;;0421-825544;Doris Hamanke;Mo.-Fr. 7-12, 13-15, Sa. 7-12.30;f;8.840947;53.035877;Martin-Buber-Straße
VV384;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Fischer´s Lädchen - Tabakwaren;Holzdamm 153;28279;Bremen;Bremen;0;f;Bus 51;;0421-8305881;Brigitte Steinacker;Mo.-Fr.7-13, 15-18, Sa. 7-13;f;8.856551;53.050705;Habenhauser Landstraße
VV385;6;Weitere Vorverkaufsstellen;Ticket Offices;;;Birgit Reeh - Toto-Lotto;Ohserstraße 6;28279;Bremen;Bremen;0;f;Bus 51;;0421-8369928;Birgit Reeh;Mo.-Fr. 7-13, 15-18, Do. 7-13, Sa. 7.00-12;f;8.849857;53.041424;Piependamm
VV386;6;Weitere Vorverkaufsstellen;Ticket Offices;;;M.Niemeyer (im Real-Markt);Steinsetzerstraße 15;28279;Bremen;Bremen;0;f;Bus 22;;0421-834231;M.Niemeyer (im Real-Markt Habenhausen);Mo-Sa.8-20;f;8.847379;53.046803;Borgwardstraße
